10.16
,,Delta,Impl Vol,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Impl Vol,Mark,,
,,.78,377.72%,2.890,1.88,A,3.90,A,9 DEC 16,8,0,Z,.06,X,-.05,126.68%,.030,,
,,.78,247.48%,2.100,1.55,X,2.65,A,9 DEC 16,8.5,0,Z,.02,C,-.03,80.86%,.010,,
,,.89,86.49%,1.215,1.10,X,1.33,X,9 DEC 16,9,.03,H,.04,H,-.08,76.74%,.035,,
,,.77,83.38%,.800,.79,I,.81,W,9 DEC 16,9.5,.14,H,.16,Q,-.24,86.32%,.150,,
,,.58,96.81%,.540,.53,W,.55,H,9 DEC 16,10,.37,M,.39,W,-.42,96.97%,.380,,
,,.42,109.51%,.375,.37,Q,.38,X,9 DEC 16,10.5,.70,M,.73,M,-.57,109.66%,.715,,
,,.31,118.95%,.260,.25,H,.27,X,9 DEC 16,11,1.09,H,1.13,X,-.68,121.65%,1.110,,
,,.23,130.71%,.195,.19,Q,.20,X,9 DEC 16,11.5,1.52,H,1.55,B,-.76,131.43%,1.535,,
,,.17,139.76%,.145,.14,A,.15,N,9 DEC 16,12,1.97,H,2.01,I,-.81,142.91%,1.990,,
,,.14,150.00%,.115,.11,Q,.12,X,9 DEC 16,12.5,2.41,M,2.51,X,-.84,155.14%,2.460,,
